trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
23,0,23,0,10,53.152131400071084,53.152131400071084,0.02920079999603331,[-0.2111111111111111],[-0.044444444444444446],[1],[0],[0],[1.2518742999527603],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
24,0,24,0,5,54.42136010003742,54.42136010003742,0.016117900027893484,[-0.39166666666666666],[0.07314814814814814],[1],[0],[0],[1.1467885999009013],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
25,0,25,0,5,55.58700709999539,55.58700709999539,0.015928199980407953,[0.11203703703703703],[-0.4777777777777778],[1],[0],[0],[1.8310095999622717],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
26,0,26,0,10,57.45185579999816,57.45185579999816,0.02928400004748255,[0.2953703703703704],[0.35833333333333334],[1],[0],[0],[1.3011760999215767],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
27,0,27,0,10,58.78688650007825,58.78688650007825,0.029890900012105703,[0.06481481481481481],[0.2657407407407407],[1],[0],[0],[1.249829399981536],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
28,0,28,0,10,60.067947900039144,60.067947900039144,0.028688800055533648,[-0.1175925925925926],[0.3824074074074074],[1],[0],[0],[1.067800100077875],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
29,0,29,0,10,61.16925550007727,61.16925550007727,0.03015070001129061,[-0.11666666666666667],[-0.037037037037037035],[1],[0],[0],[1.1831514000659809],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
30,0,30,0,5,62.370181500096805,62.370181500096805,0.01620589999947697,[-0.3212962962962963],[0.24351851851851852],[1],[0],[0],[1.5149466000730172],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
31,0,31,0,5,63.905587700079195,63.905587700079195,0.01620449998881668,[0.03425925925925926],[-0.2898148148148148],[1],[0],[0],[1.4639121000654995],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
32,0,32,0,5,65.3870299999835,65.3870299999835,0.016111999982967973,[-0.4685185185185185],[-0.2851851851851852],[1],[0],[0],[1.4641346998978406],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
33,0,33,0,5,66.87209289998282,66.87209289998282,0.016162600019015372,[0.36018518518518516],[-0.275],[1],[0],[0],[1.7958932999754325],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
34,0,34,0,5,68.6951058000559,68.6951058000559,0.022238700068555772,[0.31203703703703706],[0.4787037037037037],[1],[0],[0],[1.5737828999990597],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
35,0,35,0,10,70.30351940006949,70.30351940006949,0.03051079995930195,[-0.24537037037037038],[0.3398148148148148],[1],[0],[0],[1.2496445999713615],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
36,0,36,0,5,71.5705389000941,71.5705389000941,0.01645620004273951,[-0.037037037037037035],[0.2796296296296296],[1],[0],[0],[1.297184499911964],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
37,0,37,0,5,72.88792930007912,72.88792930007912,0.016748399939388037,[-0.13796296296296295],[-0.06666666666666667],[1],[0],[0],[1.2798847999656573],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
38,0,38,0,5,74.18637390004005,74.18637390004005,0.01560869999229908,[0.11574074074074074],[-0.45092592592592595],[1],[0],[0],[1.9139319999376312],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
39,0,39,0,10,76.13499060005415,76.13499060005415,0.030095100053586066,[0.44166666666666665],[0.12129629629629629],[1],[0],[0],[1.2009369999868795],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
40,0,40,0,5,77.35236830008216,77.35236830008216,0.01500999997369945,[-0.44166666666666665],[0.18703703703703703],[1],[0],[0],[1.5152856999775395],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
41,0,41,0,10,78.90220320003573,78.90220320003573,0.02949579991400242,[-0.2518518518518518],[0.3592592592592593],[1],[0],[0],[1.633937899954617],[],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
42,0,42,0,10,80.57005630002823,80.57005630002823,0.029624299961142242,[-0.38333333333333336],[0.08888888888888889],[1],[0],[0],[1.1833132000174373],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
43,0,43,0,10,81.7841920000501,81.7841920000501,0.02885410003364086,[-0.44166666666666665],[-0.29814814814814816],[1],[0],[0],[1.335364600061439],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
44,0,44,0,5,83.13911780004855,83.13911780004855,0.016299599898047745,[0.0712962962962963],[-0.12407407407407407],[1],[0],[0],[1.0777331000426784],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
45,0,45,0,5,84.23611729999539,84.23611729999539,0.016070300014689565,[-0.3851851851851852],[0.2212962962962963],[1],[0],[0],[1.1650455000344664],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
46,0,46,0,5,85.42005160008557,85.42005160008557,0.01622380001936108,[0.4027777777777778],[0.044444444444444446],[1],[0],[0],[1.3810792000731453],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
47,0,47,0,5,86.8188365000533,86.8188365000533,0.014624300063587725,[-0.10555555555555556],[0.23148148148148148],[1],[0],[0],[0.9319817998912185],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
48,0,48,0,5,87.76956330006942,87.76956330006942,0.015806900104507804,[0.037037037037037035],[-0.3648148148148148],[1],[0],[0],[1.5473987000295892],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
49,0,49,0,5,89.3363701000344,89.3363701000344,0.016354299965314567,[-0.4861111111111111],[0.34814814814814815],[1],[0],[0],[1.6151620000600815],[],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
50,0,50,0,10,90.98636209999677,90.98636209999677,0.029798300005495548,[0.3138888888888889],[0.5],[1],[0],[0],[1.2321997999679297],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
51,0,51,0,10,92.25189060007688,92.25189060007688,0.0302220000885427,[-0.43796296296296294],[-0.04259259259259259],[1],[0],[0],[1.4342477000318468],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
52,0,52,0,5,93.70215959998313,93.70215959998313,0.014922300004400313,[0.262037037037037],[0.45185185185185184],[1],[0],[0],[1.315837600035593],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
53,0,53,0,10,95.05491920001805,95.05491920001805,0.030786599963903427,[0.11203703703703703],[-0.38333333333333336],[1],[0],[0],[1.5478078000014648],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
54,0,54,0,5,96.61984200007282,96.61984200007282,0.016588400001637638,[-0.262037037037037],[-0.004629629629629629],[1],[0],[0],[1.2638003999600187],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
